Date,Product,Predicted_Price_EGP
2026-10-01,corn oil,153.12
2026-11-01,corn oil,169.9
2026-12-01,corn oil,188.68
2027-01-01,corn oil,213.1
2027-02-01,corn oil,239.18
2027-03-01,corn oil,245.34
2027-04-01,corn oil,261.24
2027-05-01,corn oil,295.75
2027-06-01,corn oil,310.18
2027-07-01,corn oil,319.3
2027-08-01,corn oil,322.87
2027-09-01,corn oil,325.92
2027-10-01,corn oil,333.21
2027-11-01,corn oil,338.09
2027-12-01,corn oil,342.97
2028-01-01,corn oil,329.15
2028-02-01,corn oil,320.12
2028-03-01,corn oil,323.3
2028-04-01,corn oil,336.58
2028-05-01,corn oil,345.99
2028-06-01,corn oil,364.16
2028-07-01,corn oil,368.7
2028-08-01,corn oil,372.55
2028-09-01,corn oil,377.5
2028-10-01,corn oil,384.48
2028-11-01,corn oil,390.12
2028-12-01,corn oil,395.75
2026-04-01,cotton seed oil,81.27
2026-05-01,cotton seed oil,87.78
2026-06-01,cotton seed oil,92.27
2026-07-01,cotton seed oil,100.7
2026-08-01,cotton seed oil,107.28
2026-09-01,cotton seed oil,117.39
2026-10-01,cotton seed oil,123.94
2026-11-01,cotton seed oil,137.84
2026-12-01,cotton seed oil,158.45
2027-01-01,cotton seed oil,180.37
2027-02-01,cotton seed oil,210.65
2027-03-01,cotton seed oil,227.47
2027-04-01,cotton seed oil,260.74
2027-05-01,cotton seed oil,295.29
2027-06-01,cotton seed oil,309.75
2027-07-01,cotton seed oil,318.87
2027-08-01,cotton seed oil,322.42
2027-09-01,cotton seed oil,325.43
2027-10-01,cotton seed oil,332.73
2027-11-01,cotton seed oil,337.61
2027-12-01,cotton seed oil,342.54
2028-01-01,cotton seed oil,328.72
2028-02-01,cotton seed oil,319.64
2028-03-01,cotton seed oil,322.82
2028-04-01,cotton seed oil,336.11
2028-05-01,cotton seed oil,345.6
2028-06-01,cotton seed oil,363.63
2028-07-01,cotton seed oil,368.18
2028-08-01,cotton seed oil,372.0
2028-09-01,cotton seed oil,376.94
2028-10-01,cotton seed oil,383.94
2028-11-01,cotton seed oil,389.56
2028-12-01,cotton seed oil,395.26
2026-04-01,crushed beans,50.35
2026-05-01,crushed beans,50.95
2026-06-01,crushed beans,51.56
2026-07-01,crushed beans,52.18
2026-08-01,crushed beans,52.81
2026-09-01,crushed beans,53.62
2026-10-01,crushed beans,55.07
2026-11-01,crushed beans,58.28
2026-12-01,crushed beans,61.43
2027-01-01,crushed beans,66.29
2027-02-01,crushed beans,69.54
2027-03-01,crushed beans,72.57
2027-04-01,crushed beans,75.45
2027-05-01,crushed beans,79.24
2027-06-01,crushed beans,83.18
2027-07-01,crushed beans,88.52
2027-08-01,crushed beans,93.39
2027-09-01,crushed beans,103.58
2027-10-01,crushed beans,117.72
2027-11-01,crushed beans,133.17
2027-12-01,crushed beans,156.8
2028-01-01,crushed beans,189.13
2028-02-01,crushed beans,215.1
2028-03-01,crushed beans,248.2
2028-04-01,crushed beans,281.43
2028-05-01,crushed beans,321.31
2028-06-01,crushed beans,345.28
2028-07-01,crushed beans,349.86
2028-08-01,crushed beans,353.57
2028-09-01,crushed beans,358.68
2028-10-01,crushed beans,365.44
2028-11-01,crushed beans,371.4
2028-12-01,crushed beans,376.95
2026-04-01,crushed lentil,61.81
2026-05-01,crushed lentil,62.55
2026-06-01,crushed lentil,63.3
2026-07-01,crushed lentil,64.06
2026-08-01,crushed lentil,64.94
2026-09-01,crushed lentil,66.67
